country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
tr,dt,m1,full,32,0.040579872446760284,0.024345099446752623,1.1203635326390984,1.2249440006019134,0.22059632047085387
tr,dt,m2,pre_crisis,8,0.017840705689770107,0.014232826870084375,0.9369491423362674,-0.7692522082780678,0.44174360258079437
tr,dt,m2,covid,7,0.08450205953698331,0.058892419752072156,1.1649562360254635,0.8835543641366823,0.37693682341230406
tr,dt,m2,post_covid,16,0.02294335208724422,0.01686715163313963,1.9644883025197728,1.9338421762264206,0.053132535401364756
tr,dt,m2,full,32,0.04368500005337022,0.02521000295721992,1.2060925289340196,1.279197340969133,0.2008275719976087
tr,dt,m3,pre_crisis,8,0.019952725158725006,0.015848771036645677,1.0734027844609155,0.6275952523634265,0.5302691196233682
tr,dt,m3,covid,7,0.06509432532530098,0.03983677037875756,0.8562029527599567,-1.5081878318794137,0.13150646066763816
tr,dt,m3,post_covid,16,0.01841741609348745,0.012397327523314561,1.5912499156241229,1.1123646152584612,0.2659814121826791
tr,dt,m3,full,32,0.03468512471835214,0.01934373787702194,0.9207177144844557,-0.8229515068429966,0.41053557055550494
tr,mlp,m1,pre_crisis,8,0.15303879894677666,0.12769733868679434,8.03721410524555,2.735957140951899,0.006219912647160042
tr,mlp,m1,covid,7,0.21390307844330847,0.16810413265850951,2.9488952873215615,1.8974765881206552,0.05776506585240471
tr,mlp,m1,post_covid,16,0.2589673640094946,0.20228928732417745,22.17367171965576,2.4984759980123568,0.012472858867067504
tr,mlp,m1,full,32,0.22293366299765335,0.17292066247795956,6.154941628954416,3.342501618576178,0.000830268710865667
tr,mlp,m2,pre_crisis,8,0.09886377878727196,0.08942862013113917,5.192077844542401,3.021461962014808,0.0025155724454470896
tr,mlp,m2,covid,7,0.2676486785289947,0.20786386851144667,3.6898390267028285,1.512473399018622,0.1304134748411594
tr,mlp,m2,post_covid,16,0.17220346652717394,0.135441204036283,14.744649969176386,2.5452142631834804,0.010921070332591265
tr,mlp,m2,full,32,0.1843514149077054,0.14126139722463898,5.089730203661649,2.89742616329664,0.0037623829013773147
tr,mlp,m3,pre_crisis,8,0.020351003448756108,0.013822652769420338,1.094829081977111,0.4780725839663935,0.6325985445447664
tr,mlp,m3,covid,7,0.06488527796479655,0.04106979313548425,0.8534532972955811,-1.3329473196343231,0.18254909231015493
tr,mlp,m3,post_covid,16,0.013633565740695578,0.00909456848834225,1.1779290984368374,1.1294218323420195,0.2587199272109131
tr,mlp,m3,full,32,0.03343082265316014,0.01706254357516236,0.887422227150496,-1.1014492148146895,0.2707011959335639
tr,lstm,m1,pre_crisis,8,0.018190201746213917,0.013331261397661226,0.9553037991547306,-0.7812142351191487,0.4346765026869286
tr,lstm,m1,covid,7,0.08598365871820064,0.05383804925291054,1.1853817524555565,0.7933369413775133,0.42758153938858134
tr,lstm,m1,post_covid,16,0.01198717833495319,0.008385090570538963,1.0263832211478072,0.7113157506596107,0.4768885933591791
tr,lstm,m1,full,32,0.04211894898401023,0.019563355575759455,1.1628556629073137,0.8032362019605035,0.42183822475046306
tr,lstm,m2,pre_crisis,8,0.01879675131321586,0.013914580085161226,0.9871582620032924,-0.19590665111804811,0.8446832313058934
tr,lstm,m2,covid,7,0.0735397958000775,0.05108461794178646,1.0138290614780188,0.22976939029554497,0.8182709713912713
tr,lstm,m2,post_covid,16,0.01187203366047667,0.008124779474022688,1.0165241401710423,0.5629530523219216,0.5734668530820097
tr,lstm,m2,full,32,0.03665616959587627,0.018956269412567926,1.0120346168000967,0.24026363965897782,0.8101258808481793
tr,lstm,m3,pre_crisis,8,0.018082299222299012,0.013556801022661226,0.9727789151740862,-0.32482358177917714,0.7453145958275151
tr,lstm,m3,covid,7,0.05231381139904387,0.035874245584643596,0.688097458052604,-1.5663485703321114,0.1172670360458814
tr,lstm,m3,post_covid,16,0.011989933460782287,0.008169524508038963,1.0359205933646223,0.9362849150037851,0.3491265128678722
