Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1973-08-25,-0.015625317903081637,2.304,,-0.0018859240686435186,0,0,0
1973-09-01,-0.04839654086184986,2.368,,0.00016094611904993172,0,0,0
1973-09-08,0.04049136135473752,2.406,,-0.0009568896011877825,0,0,0
1973-09-15,-0.028170876966697733,2.419,,0.0012451017762264982,0,0,0
1973-09-22,0.004073325387636828,2.408,,-0.005220019397816245,0,0,0
1973-09-29,0.012121360532344028,2.376,,0.0002732638932547715,0,0,0
1973-10-06,-0.05362109143909777,2.331,,0.0009113631031665292,0,0,0
1973-10-13,0.04149973090675374,2.278,,-0.003813614075800942,0,0,0
1973-10-20,0.012121360532344028,2.227,,-0.0013669320670279816,0,0,0
1973-10-27,-0.057867382320548444,2.183,,0.0012930361186471728,0,0,0
1973-11-03,0.045746021788204416,2.149,,0.010765942405351225,0,0,0
1973-11-10,0.13657553500575048,2.127,,0.013210783399782322,0,0,0
1973-11-17,-0.10457280391957724,2.109,,0.008191221125492198,0,0,0
1973-11-24,-0.08629581345283555,2.087,,0.010433790558487921,0,0,0
1973-12-01,0.09413899091386213,2.048,,-0.0025684296382735283,0,0,0
1973-12-08,0.038318864302135935,1.985,,0.003238012275380342,0,0,0
1973-12-15,0.022305757514297753,1.89,,0.0015674877250644315,0,0,0
1973-12-22,0.18109531507071175,1.762,,0.0018373905210866681,0,0,0
1973-12-29,-0.0831149067105077,1.601,,0.0025260419652974875,0,0,0
1974-01-05,-0.10907109505436097,1.419,,0.010610434342088304,0,0,0
1974-01-12,0.2342342380083675,1.224,,0.019101731285534385,0,0,0
1974-01-19,-0.05750449448019168,1.029,,0.007131802624066097,0,0,0
1974-01-26,-0.09811785595852385,0.846,,0.0041023047792130285,0,0,0
1974-02-02,0.03710375020337864,0.687,,-0.013348625391418345,0,0,0
1974-02-09,0.2003696266656565,0.561,,-0.0035611895051461673,0,0,0
1974-02-16,-0.17100373186129225,0.477,,-0.010265783401033346,0,0,0
1974-02-23,-0.06303910991095307,0.441,,-0.021018571989651846,0,0,0
1974-03-02,0.03035646248059365,0.456,,0.01446983229551524,0,0,0
1974-03-09,0.013201511858536463,0.523,,-0.008215154637971622,0,0,0
1974-03-16,0.03226086221822122,0.643,,-0.004957358912084153,0,0,0
1974-03-23,-0.0031796529173799826,0.813,,-0.012452229336915366,0,0,0
1974-03-30,0.02825933731440422,1.028,,-0.006500097272759575,0,0,0
1974-04-06,-0.08729286889859722,1.284,,0.00434507110996929,0,0,0
1974-04-13,0.003372684478639698,1.575,,0.002649538528462614,0,0,0
1974-04-20,-0.003372684478639698,1.895,,-0.006430794064289813,0,0,0
1974-04-27,-0.04491255668082239,2.236,,-0.00467534648499246,0,0,0
1974-05-04,0.014035318116382811,2.594,,-0.0015280595111351047,0,0,0
1974-05-11,0.03087723856443958,2.96,,-0.008237059722393525,0,0,0
1974-05-18,0.006734032181345384,3.326,,0.004508796432153517,0,0,0
1974-05-25,0.036247790392339496,3.684,,0.003085337816206568,0,0,0
1974-06-01,-0.10572016320710809,4.026,,0.007623935318702202,0,0,0
1974-06-08,0.1217718722176162,4.342,,-0.0021541534353399783,0,0,0
1974-06-15,-0.03566018039888341,4.623,,0.00397620009825328,0,0,0
1974-06-22,0.016366977464205235,4.857,,0.004803534876741011,0,0,0
1974-06-29,0.053725399356162384,5.035,,-0.0003150784964116582,0,0,0
1974-07-06,-0.044032270150502484,5.15,,0.002839077916806154,0,0,0
1974-07-13,-0.022765210773012967,5.202,,0.0022743743766691082,0,0,0
1974-07-20,-0.003294895896852168,5.195,,0.0014389842623403482,0,0,0
1974-07-27,0.054588190284402316,5.139,,0.0011321390986340774,0,0,0
1974-08-03,0.04580953603129423,5.043,,0.006353454571300432,0,0,0
1974-08-10,0.03519424812179395,4.921,,0.0042276371214029496,0,0,0
1974-08-17,-0.04418981103037112,4.781,,0.006110239446431187,0,0,0
1974-08-24,0.032595478249451304,4.632,,0.0033192101374952543,0,0,0
1974-08-31,0.020202707317519497,4.478,,0.0038689733151935357,0,0,0
1974-09-07,0.0,4.32,,0.0007972178675519359,0,0,0
1974-09-14,0.019802627296179764,4.16,,-0.0032564181024090644,0,0,0
1974-09-21,0.03576722385863107,3.993,,-0.003978364212875896,0,0,0
1974-09-28,-0.010869672236903938,3.819,,0.002142079099836991,0,0,0
1974-10-05,0.013568729206069108,3.638,,-0.0019472430305080835,0,0,0
1974-10-12,0.10724553035359641,3.457,,-0.0012384851333084868,0,0,0
1974-10-19,-0.0598682493425855,3.286,,-0.001731793897752354,0,0,0
1974-10-26,0.06228663020686831,3.13,,-0.000715738198751481,0,0,0
1974-11-02,-0.019512814223581643,2.998,,0.00028110502667644255,0,0,0
