country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,ridge,m1,non_covid,29,0.005541767775912922,0.003573980236352087,0.9728710419452424,-0.8919937366321211,0.37239628956190707
us,ridge,m2,pre_covid,12,0.0029696727323904925,0.0022577265167387996,0.9579217153890175,-0.5325184828541413,0.5943669440701571
us,ridge,m2,covid,7,0.03842150947467479,0.024378489919612195,0.8153380587432509,-1.1128089430010988,0.2657904937222808
us,ridge,m2,post_covid,16,0.004664703111099132,0.00362053136952925,1.005492547199805,0.07757990641222386,0.9381622265597658
us,ridge,m2,full,36,0.017638673448978126,0.007666443122399613,0.8242686184809715,-1.113397613897048,0.26553769933153015
us,ridge,m2,full_ex_2020q2,35,0.014550497305278865,0.006126466348423677,0.9423016806045199,-0.4768930888763395,0.6334382535497407
us,ridge,m2,non_covid,29,0.005467566139615468,0.0036325007920379555,0.9598447611377876,-0.8682639332383201,0.38524986171855513
us,ridge,m3,pre_covid,12,0.0030533968122565844,0.0023622531324913668,1.1215615705096313,0.9227585414140325,0.35613305055088773
us,ridge,m3,covid,7,0.032567975805196346,0.02107446018879211,0.6382763477095805,-1.5539178871904584,0.12020400445915147
us,ridge,m3,post_covid,16,0.004926225136798049,0.0035707417697473875,1.0388240571529228,0.5103673575912244,0.6097941211467819
us,ridge,m3,full,36,0.015204883894497204,0.007026329808612047,0.6595473288896554,-1.4394627971947684,0.15001944324261474
us,ridge,m3,full_ex_2020q2,35,0.011889684562866593,0.005567225978136169,0.6419541209172319,-1.06615146613168,0.2863551776393951
us,ridge,m3,non_covid,29,0.0055648975468155955,0.0036354017858099617,0.9945454146318645,-0.113336851518696,0.9097635021632506
us,ridge,post1,pre_covid,12,0.003009339658672051,0.002319207359577691,1.1053786721165675,0.8759635363960988,0.3810498569430856
us,ridge,post1,covid,7,0.03164769400650949,0.020849073774066074,0.620240406242327,-1.529072444256746,0.1262464856597203
us,ridge,post1,post_covid,16,0.004830929772496848,0.0037714955196589753,1.0187285247275444,0.3392719413221606,0.7344048780423864
us,ridge,post1,full,36,0.014712975875056255,0.006984292359197342,0.6382096703759265,-1.437274652653341,0.1506399681772117
us,ridge,post1,full_ex_2020q2,35,0.0112148310130246,0.005520077368551534,0.6055170720581123,-1.0763475613359785,0.2817718451553737
us,ridge,post1,non_covid,29,0.005192647242253314,0.0036376209831945447,0.9280177148165132,-0.7554937111328649,0.4499528043067813
us,elasticnet,m1,pre_covid,12,0.002712516481603511,0.002137463844571959,0.8749713100497121,-1.6920313262912143,0.09064000087246149
us,elasticnet,m1,covid,7,0.04370596752731516,0.027413871586786757,0.927478883741028,-1.4597903200848605,0.14434770972960664
