country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,dt,m2,post_covid,16,0.004551510193781007,0.0034398727081315253,0.9810934306754611,-0.6354934212440503,0.5251066560332323
us,dt,m2,full,36,0.019431776603697007,0.008003690456469835,0.9080616919458941,-1.717829076089949,0.08582779636999982
us,dt,m3,pre_covid,12,0.0026737132281655306,0.0021547965610593162,0.9820977068019936,-0.25267334346696324,0.8005206484302563
us,dt,m3,covid,7,0.04281392325818814,0.026692534117405856,0.8390793069796633,-0.8805906044648615,0.37853944575870746
us,dt,m3,post_covid,16,0.004519699014140245,0.0034085154364969813,0.9530973385497775,-3.3778005140476743,0.0007306806612674688
us,dt,m3,full,36,0.01949426049104846,0.008004118475948495,0.8456090506684742,-0.9023820556951848,0.36685394998631526
us,mlp,m1,pre_covid,12,0.08918367421079171,0.06937477780077975,28.767809076365005,2.126481356680107,0.03346319996828595
us,mlp,m1,covid,7,0.13723620734262063,0.11816820401500164,2.9122724331737277,2.407437840028985,0.016064896754296454
us,mlp,m1,post_covid,16,0.0735876297850377,0.06097671098561544,15.862062719254027,2.5475276579867896,0.010848925282843647
us,mlp,m1,full,36,0.09345149792749345,0.07380579502910802,4.367059536222379,3.922652414873305,8.757945521553623e-05
us,mlp,m2,pre_covid,12,0.06719917089569863,0.057264450606473595,21.676309431346098,3.6721705264412843,0.00024049910934897945
us,mlp,m2,covid,7,0.2951597956825461,0.19747772189249407,6.263549197344456,1.4632318491518865,0.14340394865932948
us,mlp,m2,post_covid,16,0.08636841850671267,0.06252624740134942,18.61700499551638,2.0773995096269258,0.03776470142598498
us,mlp,m2,full,36,0.1475167654489675,0.08542070271345498,6.893570585743017,1.7827895523886568,0.07462056709451681
us,mlp,m3,pre_covid,12,0.006198977432096584,0.005017260033003459,2.2769837305089085,1.8837487771449608,0.05959896517512431
us,mlp,m3,covid,7,0.039701556812007474,0.025268623582975856,0.7780822741924711,-1.1293289224199161,0.25875910440210803
